index,TableName,SeriesCode,LineNumber,LineDescription,METRIC_NAME,CL_UNIT,UNIT_MULT,Notes
DPCERA,U20403,DPCERA,1,Personal consumption expenditures,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DGDSRA,U20403,DGDSRA,2,Goods,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DDURRA,U20403,DDURRA,3,Durable goods,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DMOTRA,U20403,DMOTRA,4,Motor vehicles and parts,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNMVRA,U20403,DNMVRA,5,New motor vehicles (55),Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNEARA,U20403,DNEARA,6,New autos,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNDCRA,U20403,DNDCRA,7,New domestic autos,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNFCRA,U20403,DNFCRA,8,New foreign autos,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNWTRA,U20403,DNWTRA,9,New light trucks,Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNPVRA,U20403,DNPVRA,10,Net purchases of used motor vehicles (56),Fisher Quantity Index,Level,0,"Table 2.4.3U. Real Personal Consumption Expenditures by Type of Product, Quantity Indexes [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
