index,TableName,SeriesCode,LineNumber,LineDescription,METRIC_NAME,CL_UNIT,UNIT_MULT,Notes
DPCERG,U20404,DPCERG,1,Personal consumption expenditures,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DGDSRG,U20404,DGDSRG,2,Goods,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DDURRG,U20404,DDURRG,3,Durable goods,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DMOTRG,U20404,DMOTRG,4,Motor vehicles and parts,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNMVRG,U20404,DNMVRG,5,New motor vehicles (55),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNEARG,U20404,DNEARG,6,New autos,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNDCRG,U20404,DNDCRG,7,New domestic autos,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNFCRG,U20404,DNFCRG,8,New foreign autos,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNWTRG,U20404,DNWTRG,9,New light trucks,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNPVRG,U20404,DNPVRG,10,Net purchases of used motor vehicles (56),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNPURG,U20404,DNPURG,11,Used autos,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNETRG,U20404,DNETRG,12,Net transactions in used autos,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DMARRG,U20404,DMARRG,13,Used auto margin,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DREERG,U20404,DREERG,14,Employee reimbursement,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DUTRRG,U20404,DUTRRG,15,Used light trucks,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DUTNRG,U20404,DUTNRG,16,Net transactions in used trucks,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DUTMRG,U20404,DUTMRG,17,Used truck margin,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DMVPRG,U20404,DMVPRG,18,Motor vehicle parts and accessories (58),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DTATRG,U20404,DTATRG,19,Tires,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DPAARG,U20404,DPAARG,20,Accessories and parts,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DFDHRG,U20404,DFDHRG,21,Furnishings and durable household equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DFFFRG,U20404,DFFFRG,22,Furniture and furnishings (parts of 31 and 32),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DFNRRG,U20404,DFNRRG,23,Furniture,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DCLFRG,U20404,DCLFRG,24,"Clocks, lamps, lighting fixtures, and other household decorative items",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DFLRRG,U20404,DFLRRG,25,Carpets and other floor coverings,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DWCTRG,U20404,DWCTRG,26,Window coverings,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DAPPRG,U20404,DAPPRG,27,Household appliances (part of 33),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DMHARG,U20404,DMHARG,28,Major household appliances,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DSEARG,U20404,DSEARG,29,Small electric household appliances,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DUTERG,U20404,DUTERG,30,"Glassware, tableware, and household utensils (34)",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DCHNRG,U20404,DCHNRG,31,Dishes and flatware,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DNECRG,U20404,DNECRG,32,Nonelectric cookware and tableware,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DTOORG,U20404,DTOORG,33,Tools and equipment for house and garden (35),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DHDWRG,U20404,DHDWRG,34,"Tools, hardware, and supplies",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DLWNRG,U20404,DLWNRG,35,Outdoor equipment and supplies,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DREQRG,U20404,DREQRG,36,Recreational goods and vehicles,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DVAPRG,U20404,DVAPRG,37,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DVAARG,U20404,DVAARG,38,Video and audio equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DTVSRG,U20404,DTVSRG,39,Televisions,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DOVARG,U20404,DOVARG,40,Other video equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DAUDRG,U20404,DAUDRG,41,Audio equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DRECRG,U20404,DRECRG,42,Recording media,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DRTDRG,U20404,DRTDRG,43,"Audio discs, tapes, vinyl, and permanent digital downloads",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DOVERG,U20404,DOVERG,44,"Video discs, tapes, and permanent digital downloads",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DCAMRG,U20404,DCAMRG,45,Photographic equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DIPERG,U20404,DIPERG,46,Information processing equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DCPPRG,U20404,DCPPRG,47,Personal computers/tablets and peripheral equipment,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DCPSRG,U20404,DCPSRG,48,Computer software and accessories,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DOIPRG,U20404,DOIPRG,49,"Calculators, typewriters, and other information processing equipment",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DSPGRG,U20404,DSPGRG,50,"Sporting equipment, supplies, guns, and ammunition (part of 80)",Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DWHLRG,U20404,DWHLRG,51,Sports and recreational vehicles (79),Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DMCYRG,U20404,DMCYRG,52,Motorcycles,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
DBCYRG,U20404,DBCYRG,53,Bicycles and accessories,Fisher Price Index,Level,0,"Table 2.4.4U. Price Indexes for Personal Consumption Expenditures by Type of Product [Index numbers, 2012=100; quarters and months are seasonally adjusted] - LastRevised: April 30, 2021"
