index,TableName,SeriesCode,LineNumber,LineDescription,METRIC_NAME,CL_UNIT,UNIT_MULT,Notes
DPCERC,U20405,DPCERC,1,Personal consumption expenditures,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DGDSRC,U20405,DGDSRC,2,Goods,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DDURRC,U20405,DDURRC,3,Durable goods,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMOTRC,U20405,DMOTRC,4,Motor vehicles and parts,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNMVRC,U20405,DNMVRC,5,New motor vehicles (55),Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNEARC,U20405,DNEARC,6,New autos,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNDCRC,U20405,DNDCRC,7,New domestic autos,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNFCRC,U20405,DNFCRC,8,New foreign autos,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNWTRC,U20405,DNWTRC,9,New light trucks,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNPVRC,U20405,DNPVRC,10,Net purchases of used motor vehicles (56),Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNPURC,U20405,DNPURC,11,Used autos,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DNETRC,U20405,DNETRC,12,Net transactions in used autos,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMARRC,U20405,DMARRC,13,Used auto margin,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DREERC,U20405,DREERC,14,Employee reimbursement,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTRRC,U20405,DUTRRC,15,Used light trucks,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTNRC,U20405,DUTNRC,16,Net transactions in used trucks,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DUTMRC,U20405,DUTMRC,17,Used truck margin,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DMVPRC,U20405,DMVPRC,18,Motor vehicle parts and accessories (58),Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
DTATRC,U20405,DTATRC,19,Tires,Current Dollars,Level,6,"Table 2.4.5U. Personal Consumption Expenditures by Type of Product [Millions of dollars; quarters and months are seasonally adjusted at annual rates] - LastRevised: April 30, 2021"
